active_fcp_details,affiliate_page_link_detail,affiliate_payout,affiliate_short_url,app_device_group,audit_keyword_upload,buyer_seller_connect_log,c2c_did_master,c2c_records_ads,candidate_documents,candidate_job_application,data_hot_lead_type,data_hotlead_disposition_dtl,data_hotlead_rejection_master,dim_biz_master,dim_city_master,dim_custtype,dim_date,dim_employee,dim_gl_country,dim_gl_domain,dim_gl_module,dim_glcat_cat,dim_glcat_cat_to_mcat,dim_glcat_grp,dim_glcat_grp_to_cat,dim_glcat_mcat,dim_glcat_mcat_to_mcat,dim_glusr_usr,dim_iil_comp_departments,dim_iil_designation,dim_iil_functional_area,dim_iil_vertical,dim_isq,dim_leap_pool_master,dim_mail_category_master,dim_mcat_template_attribute,dim_mcat_template_master,dim_mcat_template_to_attr_mapp,dim_pns_call_caller_circle,dim_qtr_master,dim_service,dim_sms_source_master,emp_incentive_fortnight,employee_job_offer,employee_job_offer_extension,employee_whatsapp_misc_response,employee_whatsapp_record,eto_bl_alert_limit,eto_lead_whatsapp,eto_lead_whatsapp_details,eto_leap_ai_bot_response,eto_leap_ai_bot_response_call_status,eto_ofr_usr_send_notification,fact_affiliate_social_account,fact_bizfeed_attribute,fact_bizfeed_attribute_expired,fact_bizfeed_ofr,fact_bizfeed_ofr_expired,fact_bizfeed_ofr_mapping,fact_bizfeed_ofr_mapping_expired,fact_bizfeed_ofr_rejected,fact_bizfeed_ofr_shortlist,fact_bizfeed_rejection_master,fact_bizfeed_rejection_master_expired,fact_bl_display_exception,fact_bl_display_model_position,fact_bl_display_order_filter_data,fact_bs_invoice_master,fact_buyer_req_ovr,fact_c2c_records,fact_c2c_records_unidentified,fact_chatbot_details,fact_chatbot_msg_type,fact_click_to_call,fact_client_count_since,fact_cust_pur,fact_cust_to_serv,fact_dir_query,fact_dir_query_bounced,fact_dir_query_free,fact_dir_query_reply,fact_dir_query_waiting,fact_dir_reminder,fact_doc_product_mcat_mapping,fact_employee_manager,fact_employee_tree,fact_eto_attribute,fact_eto_attribute_enq,fact_eto_auto_mcat_selection,fact_eto_glusr_pref_city,fact_eto_lead_pur,fact_eto_lead_supplier_mapping,fact_eto_ofr_expired,fact_eto_ofr_from_fenq,fact_eto_ofr_live,fact_eto_ofr_mapping,fact_eto_ofr_mapping_expired,fact_eto_ofr_pur_analysis,fact_eto_ofr_rej_srch_analysis,fact_eto_ofr_rejected,fact_eto_ofr_rejected_fr_cmnt,fact_eto_ofr_shortlist,fact_eto_ofr_temp_del,fact_eto_ofr_usr_send_sms,fact_eto_rejection_master_hidden,fact_eto_trd_alert_v2,fact_eto_unsold_leads,fact_gl_city_distance,fact_gl_gsm_master_new,fact_gl_history,fact_glcat_cat_flags,fact_glcat_grp_flags,fact_glcat_mcat_flags,fact_glusr_business_segment_details,fact_glusr_contact_label_mapping,fact_glusr_contactbook,fact_glusr_disable_errmsg,fact_glusr_display_model_weightage,fact_glusr_ecom_mapp,fact_glusr_gst_details,fact_glusr_msg_platform_integration,fact_glusr_premium_listing,fact_glusr_prime_segment,fact_glusr_rating,fact_glusr_rating_aggregate,fact_glusr_rating_details,fact_glusr_rating_docs,fact_glusr_suspect_tagging,fact_glusr_usr_biz_feeds,fact_glusr_usr_loc_pref,fact_glusr_usr_logo,fact_iil_affiliate,fact_iil_altmcat_multilingual,fact_iil_buyer_feedbacks,fact_iil_call_mapping,fact_iil_comp_locations,fact_iil_credits,fact_iil_customer_tickets,fact_iil_customer_tickets_type,fact_iil_enquiry_interest,fact_iil_mail_events,fact_iil_notification,fact_iil_nps,fact_iil_rfq_quotation,fact_iil_sms_details,fact_iil_sms_sender_mapping,fact_iil_user_mobile_device,fact_iil_verification_details,fact_iil_whatsapp_attempts,fact_iil_whatsapp_enquiry,fact_ill_enq_fbks,fact_ill_enq_fbks_imbl,fact_im_cat_specification,fact_im_specification_master,fact_im_specification_options,fact_intent_pns_captured,fact_keyword_to_mcat_mapping_audit,fact_login_details,fact_mcat_changes_advice,fact_mcat_city_supp_count,fact_mcat_isq_product,fact_meeting_trust_score,fact_message_center_detail_new,fact_my_feedbacks_new,fact_pc_clnt_pcat,fact_pc_item,fact_pc_item_approval_inflow,fact_pc_item_attribute,fact_pc_item_doc,fact_pc_item_ext,fact_pc_item_image,fact_pc_item_ml_audit,fact_pc_item_to_glcat_mcat,fact_pc_item_to_pc_clnt_pcat,fact_pns,fact_pns_call_records,fact_pns_defaulter_details,fact_quotations_attachment,fact_serv_attr_value,fact_sts_dsr_auth,fact_sts_dsr_call,fact_sts_dsr_meet_email_data,fact_sts_dsr_meeting,fact_sts_dsr_sales,fact_whatsapp_api_log,fact_whatsapp_reply_log,fact_workorder,freelance_job_master,freelance_task_details,freelance_vendor_work_stats,gl_gsm_master,gl_history_multiple,gl_whatsapp_misc_response,gl_whatsapp_record,glcat_altmcat,glcat_mcat_addn_attributes,glcat_mcat_allcount,glcat_mcat_loc_price,glcat_mcat_unit,glmeta_distinct,glmeta_history,glusr_app_permission_details,glusr_bank_details,glusr_cluster_latlong_address,glusr_contact_labels,glusr_data_hotlead_arch,glusr_privacy_setting,gst_otp_verification,hot_leads,hot_leads_assign,hot_leads_types,iil_ads_service,iil_affiliate_type,iil_contacts_notes,iil_customer_tickets_closure,iil_customer_tickets_closures,iil_customer_tickets_types,iil_display_flag_details,iil_feedback_process,iil_fraud_suspected_gluser,iil_glusr_whatsapp_template_v2,iil_google_ads_lable_master,iil_lat_long_address,iil_mail_log_j1,iil_nps_stats,iil_outsrc_payout_invoice,iil_pns_call_summary,iil_pns_setting,iil_retail_valuation,iil_verification_source,iil_whatsapp_campaign,iil_whatsapp_msg_events,iil_whatsapp_template,im_buyer_activity_attr_v2,im_task_audit_master,keyword_to_model_audit_dtls,keyword_to_model_output,kw_eto_lead_pur,leap_call_transfer_records,mcat_district_price_range,meeting_img_url_detail,message_center_detail_attributes,ml_log_model2,ml_model_audit_report,ml_model_logs_json_dtl,ml_model_retail_marking,negative_mcat_for_products,negative_mcat_for_products_imbl,pc_item_attribute_history,pc_item_delete_archive,pc_item_doc_audit_report,pc_item_google_ads,pc_item_video_adm_approval,pns_activation_log,pns_blacklist_records_hist,pns_call_all_records,pns_call_all_records_arch,pns_click_to_call,pns_defaulter_rank,sts_company,sts_rewards,sts_tele_nsd_mv,suspected_user_identification,tbro_additional,tdr_subind_list,wo_manager
added_date [timestamp without time zone],affiliate_page_link_detail_id [numeric],affiliate_payout_id [numeric],affiliate_short_url_date [timestamp without time zone],app_device_group_id [numeric],audit_keyword_upload_id [numeric],buyer_seller_connect_log_id [integer],c2c_did_master_id [numeric],c2c_record_ads_id [numeric],fk_candidate_id [numeric],candidate_job_app_id [numeric],data_hot_leads_types_id [numeric],data_hotlead_disposition_dtlid [numeric],data_hotlead_rejection_master_id [numeric],biz_id [numeric],city_id [numeric],custtype_id [numeric],date_id [integer],employeeid [numeric],gl_country_iso [character varying],domain_id [numeric],gl_module_id [character varying],disp_ht [integer],glcat_cat_to_mcat_id [numeric],glcat_grp_altgrpname [character varying],fk_glcat_cat_id [integer],glcat_mcat_id [integer],fk_child_mcat_id [integer],glusr_usr_id [numeric],iil_comp_deptt_id [numeric],iil_designation_id [numeric],ill_func_area_id [numeric],group_id [character varying],im_spec_master_id [integer],leap_pool_industry_id [integer],mail_category_id [integer],mcat_template_attribute_id [numeric],mcat_template_id [numeric],mcat_template_to_attr_mapp_id [numeric],service_provider_circle_id [numeric],year_number [integer],service_id [numeric],sms_source_master_id [integer],employee_inc_id [numeric],autosysdate [timestamp without time zone],fk_emp_job_offer_extension_id [numeric],employee_whatsapp_misc_response_id [numeric],iil_emp_whatsapp_record_id [numeric],fk_glusr_usr_id [bigint],eto_lead_whatsapp_id [numeric],eto_lead_whatsapp_details_id [numeric],eto_leap_ai_bot_response_id [numeric],eto_leap_ai_bot_response_call_status_id [numeric],eto_ofr_usr_send_notification_id [bigint],fk_affiliate_id [numeric],bizfeed_attribute_id [bigint],bizfeed_attribute_id [bigint],fk_gl_country_iso [character],bizfeed_ofr_display_id [numeric],bizfeed_ofr_mapping_id [integer],bizfeed_ofr_mapping_id [bigint],bizfeed_ofr_reject_id [integer],bizfeed_ofr_shortlist_id [integer],bizfeed_rejection_master_id [numeric],bizfeed_rejection_master_id [numeric],fk_bl_disp_exception_reason_id [numeric],fk_gusr_usr_id [numeric],fk_glusr_usr_id [bigint],bs_invoice_id [numeric],buyer_req_ovr_buy_glusr_id [bigint],c2c_record_id [bigint],c2c_record_id [bigint],chat_id [numeric],chatbot_msg_type_id [numeric],click_to_call_id [numeric],fk_glusr_usr_id [numeric],eto_cust_purchase_id [numeric],cust_to_serv_id [numeric],query_id [numeric],action_by_emp_id [numeric],action_by_emp_id [integer],dir_query_reply_id [numeric],action_by_emp_id [numeric],fk_glusr_id [numeric],doc_product_mcat_mapp_id [numeric],eid [numeric],employeeid [numeric],eto_attribute_id [numeric],eto_attribute_id [numeric],fk_eto_ofr_id [bigint],glusr_usr_id [numeric],flag_indian_foreign [integer],eto_lead_supplier_mapping_id [bigint],eto_ofr_display_id [bigint],fk_query_id [numeric],eto_ofr_display_id [bigint],eto_ofr_mapping_id [numeric],eto_ofr_mapping_id [numeric],fk_eto_ofr_id [numeric],fk_eto_ofr_id [bigint],eto_ofr_reject_id [integer],eto_ofr_reject_id [integer],eto_ofr_shortlist_id [numeric],eto_ofr_id [bigint],fk_glusr_usr_id [bigint],eto_rejection_master_lead_id [numeric],eto_trd_alert_id [numeric],eto_ofr_desc [character varying],from_city_id [numeric],flag_is_available [numeric],gl_history_id [numeric],cat_id [numeric],grp_id [numeric],glcat_mcat_id [numeric],fk_glusr_usr_id [numeric],fk_glusr_contact_label_id [bigint],fk_glusr_usr_id [bigint],glusr_disable_errmsg_id [numeric],fk_glusr_usr_id [numeric],glusr_ecom_mapp_id [numeric],fk_glusr_usr_id [numeric],msg_platform_integration_id [numeric],glusr_premium_listing_id [numeric],glusr_prime_segment_id [numeric],glusr_rating_id [numeric],fk_glusr_id [numeric],fk_glusr_rating_id [numeric],glusr_rating_doc_id [numeric],fk_glusr_usr_id [bigint],fk_glusr_usr_id [numeric],fk_glusr_usr_id [bigint],glusr_logo_approval_id [numeric],affiliate_id [numeric],fk_glcat_mcat_id [bigint],iil_buyer_feedback_id [integer],iil_call_mapping_id [integer],fk_gl_city_id [numeric],fk_glusr_usr_id [bigint],classification [character varying],completed_by [numeric],iil_enquiry_interest_id [numeric],iil_mail_event_uid [character varying],notification_id [bigint],iil_nps_id [bigint],iil_rfq_quotation_id [bigint],iil_sms_glusr_id [bigint],iil_sms_sender_map_id [numeric],iil_mobile_glusr_id [numeric],iil_verification_id [numeric],iil_whatsapp_attempt_id [numeric],iil_whatsapp_enq_id [numeric],fk_dir_query_id [bigint],fk_dir_query_id [bigint],im_cat_spec_id [integer],im_spec_master_id [integer],im_spec_options_id [integer],date [timestamp without time zone],keyword_to_mcat_mapp_audit_id [numeric],login_id [numeric],mcat_changes_advice_id [numeric],last_update_date [timestamp without time zone],glcat_mcat_id [integer],meeting_trust_score_id [numeric],message_id [bigint],my_feedbacks_id [bigint],pc_clnt_pcat_id [numeric],pc_item_id [numeric],pc_item_inflow_id [bigint],pc_item_attribute_id [numeric],pc_item_doc_id [numeric],fk_pc_item_id [numeric],pc_item_image_id [numeric],pc_item_ml_audit_id [numeric],fk_pc_item_id [numeric],fk_pc_item_id [numeric],pns_call_record_id [bigint],pns_call_record_id [numeric],pns_defaulter_id [numeric],fk_dir_query_reply_id [bigint],serv_attr_value_id [numeric],sts_dsr_auth_id [numeric],sts_dsr_call_id [numeric],sts_dsr_meeting_id [numeric],sts_dsr_meeting_id [numeric],fk_sts_company_id [numeric],log_id [integer],reply_id [bigint],feedback_date [timestamp without time zone],job_master_id [numeric],task_detail_id [numeric],vendor_work_stats_id [numeric],flag_is_available [numeric],fk_glusr_usr_id [numeric],gl_whatsapp_misc_response_id [numeric],iil_gl_whatsapp_record_id [numeric],fk_glcat_mcat_id [numeric],fk_glcat_mcat_id [numeric],fk_glcat_mcat_id [numeric],glcat_mcat_loc_price_id [numeric],glcat_mcat_id [numeric],fk_glcat_grp_id [numeric],sno [bigint],glusr_app_permission_id [numeric],fk_glusr_usr_id [bigint],glusr_cluster_latlong_addresid [numeric],glusr_contact_label_id [bigint],fk_glusr_usr_id [numeric],glusr_privacy_setting_id [integer],created_on [timestamp without time zone],assignedto [character varying],hot_leads_assign_id [numeric],activity [character varying],iil_ads_service_id [numeric],iil_affiliate_type_id [numeric],note_type [numeric],entered_date [character varying],closure_text [character varying],enabled [numeric],fk_pc_item_id [numeric],feedback_process_id [numeric],fk_glusr_usr_id [numeric],iil_glusr_whatsapp_template_id [numeric],iil_google_ads_lable_master_id [numeric],iil_lat_long_address_id [numeric],mail_log_id [bigint],glusr_usr_id [numeric],invoice_id [numeric],iil_pns_call_summary_id [numeric],fk_glusr_usr_id [numeric],iil_retail_valuation_id [bigint],iil_verification_by_process [character varying],last_updated_on [timestamp without time zone],iil_whatsapp_msg_events_id [numeric],iil_whatsapp_template_id [numeric],glusr_id [bigint],task_audit_master_id [numeric],keyword_to_model_audit_dtls_id [numeric],keyword_to_model_output_id [numeric],supplier_gl_id [bigint],fk_leap_call_records_id [numeric],mcat_id [bigint],meeting_img_url_detail_id [numeric],fk_message_id [bigint],fk_glusr_usr_id [bigint],fk_log_id [numeric],log_id [bigint],eto_ofr_display_id [bigint],glcat_mcat_negative_id [numeric],fk_glusr_usr_id [numeric],pc_item_atr_hist_id [numeric],fk_pc_clnt_id [numeric],audit_id [numeric],fk_pc_item_id [numeric],fk_pc_item_doc_id [numeric],fk_glusr_usr_id [numeric],pns_blacklist_record_id [numeric],pns_call_record_id [numeric],pns_call_record_id [numeric],pns_click_to_call_id [numeric],glusr_usr_id [numeric],assignedto [numeric],sts_reward_id [numeric],companyid [numeric],suspect_user_identification_id [numeric],fk_sts_companyid [numeric],tdr_subind_refid [numeric],wo_manager_id [numeric]
fk_glusr_usr_id [numeric],fk_affiliate_id [numeric],fk_affiliate_id [numeric],path [character varying],app_device_group_name [character varying],keyword [character varying],fk_eto_ofr_display_id [numeric],is_flag [numeric],c2c_modid [character varying],fk_iil_document_type_id [numeric],fk_job_id [numeric],fk_glusr_usr_id [numeric],fk_glusr_usr_id [numeric],data_hotlead_rejection_reason [character varying],biz_type [character varying],city_name [character varying],custtype_name [character varying],full_date [date],employeename [character varying],gl_country_name [character varying],domain_name [character varying],gl_module_name [character varying],glcat_cat_altcatname [character varying],fk_glcat_cat_id [numeric],glcat_grp_def_kw [character varying],fk_glcat_grp_id [integer],glcat_mcat_name [character varying],fk_parent_mcat_id [integer],fk_parent_glusr_id [numeric],fk_iil_comp_id [numeric],iil_designation_name [character varying],iil_func_area_name [character varying],iil_vertical_hod_id [numeric],im_spec_master_desc [character varying],leap_pool_name [character varying],mail_category_name [character varying],company_display_flag [numeric],mcat_template_name [character varying],fk_mcat_template_id [numeric],service_provider_circle_name [character varying],qtr_number [integer],service_name [character varying],sms_source_master_process_name [character varying],incentive_date [timestamp without time zone],job_offer_id [numeric],fk_job_desc_id [numeric],fk_employee_id [numeric],fk_employeeid [numeric],eto_bl_alert_email_limit [integer],fk_eto_ofr_display_id [numeric],fk_eto_lead_whatsapp_id [numeric],fk_eto_leap_vendor_id [numeric],fk_eto_leap_ai_bot_response_id [numeric],fk_glusr_usr_id [numeric],affiliate_social_account_id [numeric],fk_bizfeed_ofr_display_id [numeric],fk_bizfeed_ofr_display_id [numeric],fk_glcat_mcat_id [numeric],fk_glusr_usr_id [numeric],fk_tov_slab_id [numeric],fk_tov_slab_id [numeric],fk_bizfeed_ofr_display_id [numeric],fk_bizfeed_ofr_display_id [numeric],bizfeed_rejection_master_lead_id [numeric],bizfeed_rejection_master_lead_id [numeric],eto_rejection_master_user_id [numeric],fk_eto_ofr_display_id [numeric],eto_ofr_approx_order_val_mapp [character varying],bs_supplier_glid [numeric],buyer_req_ovr_ofr_display_id [bigint],c2c_call_time [timestamp without time zone],c2c_call_time [timestamp without time zone],session_id [character varying],chatbot_msg_type_name [character varying],fk_glusr_usr_id [numeric],client_since [timestamp without time zone],fk_glusr_usr_id [numeric],fk_service_id [numeric],date_r [timestamp without time zone],action_date [timestamp without time zone],date_r [timestamp without time zone],fk_dir_query_id [numeric],action_date [timestamp without time zone],set_date [timestamp without time zone],fk_document_master_id [numeric],ename [character varying],managerid [numeric],fk_eto_ofr_display_id [numeric],fk_eto_ofr_display_id [numeric],fk_gl_emp_id [bigint],mcat_id [numeric],eto_lead_pur_id [bigint],mapping_date [timestamp without time zone],eto_ofr_mcat_id [integer],fk_eto_ofr_id [numeric],eto_ofr_mcat_id [integer],eto_ofr_mapping_date [timestamp without time zone],eto_ofr_mapping_date [timestamp without time zone],fk_glusr_usr_id [numeric],fk_glusr_usr_id [bigint],fk_eto_ofr_id [bigint],eto_ofr_reject_dt [timestamp without time zone],fk_eto_ofr_id [numeric],eto_ofr_typ [character varying],fk_eto_ofr_id [bigint],eto_rejection_master_user_id [numeric],fk_glusr_usr_id [numeric],eto_ofr_modref_dispname [character varying],to_city_id [numeric],gl_gsm_vendor_type [character varying],fk_glusr_usr_id [numeric],cat_season [character varying],grp_lead [character varying],is_covid [numeric],process_id [numeric],fk_glusr_usr_id [bigint],contacts_glid [bigint],fk_glusr_usr_id [numeric],ml_model_1_weight [numeric],fk_glusr_usr_id [numeric],glusr_gst_partner_name [character varying],fk_glusr_usr_id [numeric],fk_glusr_usr_id [numeric],fk_glusr_usr_id [numeric],fk_glusr_buyer_id [numeric],avg_rating [numeric],glusr_rating_value [numeric],fk_glusr_rating_id [numeric],hrs_tag [integer],biz_feed_activity_glusr_id [numeric],glusr_usr_deduced_loc_pref1 [bigint],fk_glusr_usr_id [numeric],affiliate_name [character varying],glcat_mcat_altmcat_name [character varying],fk_glusr_buyer_id [numeric],fk_c2c_record_id [numeric],iil_comp_loc_name [character varying],iil_credits_av [integer],closer_customer_type [character varying],completed_on [timestamp without time zone],iil_enq_interest_date [timestamp without time zone],iil_mail_event_type [character varying],notification_no [integer],iil_nps_entry_date [timestamp without time zone],iil_rfq_quotation_date [timestamp without time zone],iil_sms_sent_date [timestamp without time zone],fk_iil_sms_detail_id [numeric],iil_user_mobile_device_id [numeric],fk_glusr_usr_id [numeric],iil_whatsapp_attempt_time [timestamp without time zone],iil_whatsapp_enq_date [timestamp without time zone],fk_enquiry_irl_other_text [character varying],fk_enquiry_irl_other_text [character varying],fk_im_spec_master_id [integer],im_spec_master_desc [character varying],fk_im_spec_master_id [integer],glusr_usr_id [bigint],fk_audit_keyword_upload_id [numeric],log_date [timestamp without time zone],mcat_changes_advice_date [timestamp without time zone],mcat_id [numeric],im_spec_master_id [integer],fk_sts_dsr_sales_id [numeric],message_date [timestamp without time zone],fk_glusr_id [bigint],pc_clnt_pcat_glusr_id [numeric],pc_item_glusr_usr_id [numeric],fk_pc_item_id [bigint],fk_pc_item_id [numeric],fk_pc_item_id [numeric],mod_id [character varying],fk_pc_item_id [numeric],fk_pc_item_id [numeric],fk_glcat_mcat_id [numeric],fk_pc_clnt_pcat_id [numeric],pns_call_fenq_id [integer],pns_call_record_date [timestamp without time zone],pns_defaulter_glusr_id [numeric],date_upload [timestamp without time zone],fk_cust_to_serv_id [numeric],fk_sts_dsr_call_id [numeric],fk_glusr_usr_id [numeric],glusr_usr_id [numeric],sts_dsr_meeting_entrydate [timestamp without time zone],fk_glusr_usr_id [numeric],in_glusrid [numeric],glusr_usr_id [numeric],fk_ar_invoice_master_rev_id [numeric],fk_job_type_id [numeric],fk_job_master_id [numeric],entered_on [timestamp without time zone],gl_gsm_number [character varying],fk_gl_attribute_id [numeric],fk_glusr_usr_id [numeric],fk_glusr_usr_id [numeric],glcat_altmcat_name [character varying],glcat_mcat_sold_flag [numeric],prd_mcat_isgenerated [numeric],fk_glcat_mcat_id [numeric],fk_gl_unit_id [numeric],fk_glcat_cat_id [numeric],emp_id [bigint],fk_glusr_usr_id [numeric],glusr_bank_name_flag [character],lat_norm [numeric],fk_glusr_usr_id [bigint],clickstrm_activity_id [numeric],fk_glusr_usr_id [integer],fk_glusr_usr_id [numeric],assignedto_id [numeric],fk_hot_leads_id [numeric],activity_id [numeric],ads_service_type [character varying],iil_affiliate_type_name [character varying],fk_query_id [bigint],fk_cust_tickets_clousers_id [numeric],fk_tickets_types_id [numeric],fk_subgroup_id [numeric],iil_display_flag [numeric],fk_iil_process_id [numeric],iil_fraud_suspect_id [numeric],fk_reply_template_flag [numeric],iil_google_ads_lable_name [character varying],lat_norm [numeric],mail_uid [character varying],iil_nps_score [numeric],invoice_from_date [timestamp without time zone],fk_msg_id [bigint],fk_glusr_usr_addt_contact_id [numeric],fk_gl_unit_id [numeric],iil_verification_by_screen [character varying],iil_whatsapp_campaign_id [numeric],msg_id [character varying],iil_whatsap_template_name [character varying],datetime [character varying],fk_task_audit_process_id [numeric],fk_keyword_to_model_output_id [numeric],fk_audit_keyword_upload_id [numeric],eto_lead_pur_keyword [character varying],leap_call_transfer_record_id [numeric],city_id [bigint],fk_sts_dsr_sales_id [numeric],message_receiver_glusr_id [bigint],eto_ofr_id [bigint],reviewed_by [character varying],prediction_date [timestamp without time zone],eto_ofr_title [character varying],fk_glusr_usr_id [numeric],fk_glcat_mcat_id [numeric],fk_pc_item_id [numeric],fk_pc_item_rejection_code [numeric],pc_doc_rejection_text [character varying],fk_glusr_usr_id [numeric],fk_pc_item_id [numeric],glusr_im_gsm_old_value [character varying],pns_blacklist_date [timestamp without time zone],pns_call_record_date [timestamp without time zone],pns_call_record_date [timestamp without time zone],caller_glid [numeric],pns_defaulter_rank [character],companyid [numeric],sts_emp_id [numeric],assignedto [numeric],suspect_date [timestamp without time zone],status [numeric],tdr_subind_corier2 [numeric],fk_employeeid [numeric]
